Table,Column,Peril,Country,Model
eqarcr,ELEV,eq,ar,0
eqarcr,EQBI,eq,ar,0
eqarcr,FIRE,eq,ar,0
eqarcr,FIRE1,eq,ar,0
eqarcr,FIRE2,eq,ar,0
eqarcr,FIRE3,eq,ar,0
eqarcr,FIRE4,eq,ar,0
eqarcr,FIRE5,eq,ar,0
eqarcr,FIRE6,eq,ar,0
eqarcr,FIRE7,eq,ar,0
eqarcr,FIRE8,eq,ar,0
eqarcr,FIREUNC,eq,ar,0
eqarcr,GDMID,eq,ar,0
eqarcr,GEOID,eq,ar,0
eqarcr,GWD,eq,ar,0
eqarcr,LAND,eq,ar,0
eqarcr,LANDCV,eq,ar,0
eqarcr,LANDUNC,eq,ar,0
eqarcr,LIQ,eq,ar,0
eqarcr,LIQCV,eq,ar,0
eqarcr,LIQUNC,eq,ar,0
eqarcr,N160CS,eq,ar,0
eqarcr,NDVI,eq,ar,0
eqarcr,PHI,eq,ar,0
eqarcr,PRECIP,eq,ar,0
eqarcr,ROUGH,eq,ar,0
eqarcr,SLOPE,eq,ar,0
eqarcr,SOIL,eq,ar,0
eqarcr,SOILPERIOD,eq,ar,0
eqarcr,SOILPEROIDUNC,eq,ar,0
eqarcr,SOILTHICKNESS,eq,ar,0
eqarcr,SOILUNC,eq,ar,0
eqarcr,SOILVS,eq,ar,0
eqarcr,T15,eq,ar,0
eqarcr,TOPO,eq,ar,0
eqarcr,WFF,eq,ar,0
eqardt,BASINID,eq,ar,0
eqardt,COHES,eq,ar,0
eqardt,CRITD,eq,ar,0
eqardt,CTI,eq,ar,0
eqardt,DC,eq,ar,0
eqardt,DI,eq,ar,0
eqardt,DISTRIV,eq,ar,0
eqardt,ELEV,eq,ar,0
eqardt,EQBI,eq,ar,0
eqardt,FIRE,eq,ar,0
eqardt,FIRE1,eq,ar,0
eqardt,FIRE2,eq,ar,0
eqardt,FIRE3,eq,ar,0
eqardt,FIRE4,eq,ar,0
eqardt,FIRE5,eq,ar,0
eqardt,FIRE6,eq,ar,0
eqardt,FIRE7,eq,ar,0
eqardt,FIRE8,eq,ar,0
eqardt,FIREUNC,eq,ar,0
eqardt,GDMID,eq,ar,0
eqardt,GEOID,eq,ar,0
eqardt,GWD,eq,ar,0
eqardt,LAND,eq,ar,0
eqardt,LANDCV,eq,ar,0
eqardt,LANDUNC,eq,ar,0
eqardt,LIQ,eq,ar,0
eqardt,LIQCV,eq,ar,0
eqardt,LIQUNC,eq,ar,0
eqardt,N160CS,eq,ar,0
eqardt,NDVI,eq,ar,0
eqardt,PHI,eq,ar,0
eqardt,PRECIP,eq,ar,0
eqardt,ROUGH,eq,ar,0
eqardt,SLOPE,eq,ar,0
eqardt,SOIL,eq,ar,0
eqardt,SOILPERIOD,eq,ar,0
eqardt,SOILPEROIDUNC,eq,ar,0
eqardt,SOILTHICKNESS,eq,ar,0
eqardt,SOILUNC,eq,ar,0
eqardt,SOILVS,eq,ar,0
eqardt,STATECODE,eq,ar,0
eqardt,T15,eq,ar,0
eqardt,TOPO,eq,ar,0
eqardt,WFF,eq,ar,0
eqarst,BASINID,eq,ar,0
eqarst,COHES,eq,ar,0
eqarst,CRITD,eq,ar,0
eqarst,CTI,eq,ar,0
eqarst,DC,eq,ar,0
eqarst,DI,eq,ar,0
eqarst,DISTRIV,eq,ar,0
eqarst,ELEV,eq,ar,0
eqarst,EQBI,eq,ar,0
eqarst,FIRE,eq,ar,0
eqarst,FIRE1,eq,ar,0
eqarst,FIRE2,eq,ar,0
eqarst,FIRE3,eq,ar,0
eqarst,FIRE4,eq,ar,0
eqarst,FIRE5,eq,ar,0
eqarst,FIRE6,eq,ar,0
eqarst,FIRE7,eq,ar,0
eqarst,FIRE8,eq,ar,0
eqarst,FIREUNC,eq,ar,0
eqarst,GDMID,eq,ar,0
eqarst,GEOID,eq,ar,0
eqarst,GWD,eq,ar,0
eqarst,LAND,eq,ar,0
eqarst,LANDCV,eq,ar,0
eqarst,LANDUNC,eq,ar,0
eqarst,LIQ,eq,ar,0
eqarst,LIQCV,eq,ar,0
eqarst,LIQUNC,eq,ar,0
eqarst,N160CS,eq,ar,0
eqarst,NDVI,eq,ar,0
eqarst,PHI,eq,ar,0
eqarst,PRECIP,eq,ar,0
eqarst,ROUGH,eq,ar,0
eqarst,SLOPE,eq,ar,0
eqarst,SOIL,eq,ar,0
eqarst,SOILPERIOD,eq,ar,0
eqarst,SOILPEROIDUNC,eq,ar,0
eqarst,SOILTHICKNESS,eq,ar,0
eqarst,SOILUNC,eq,ar,0
eqarst,SOILVS,eq,ar,0
eqarst,T15,eq,ar,0
eqarst,TOPO,eq,ar,0
eqarst,WFF,eq,ar,0
eqarvrg_geoid,STATECODE,eq,ar,0
eqarvrg_geoid,VRGHAZARD,eq,ar,0
eqarvrgliq,CRITD,eq,ar,0
eqarvrgliq,DC,eq,ar,0
eqarvrgliq,DI,eq,ar,0
eqarvrgliq,DISTRIV,eq,ar,0
eqarvrgliq,GEOID,eq,ar,0
eqarvrgliq,HAZ,eq,ar,0
eqarvrgliq,HAZUNC,eq,ar,0
eqarvrgliq,LIQCV,eq,ar,0
eqarvrgliq,N160CS,eq,ar,0
eqarvrgliq,T15,eq,ar,0
eqarvrgliq,WFF,eq,ar,0
eqarvrgsoil,GEOID,eq,ar,0
eqarvrgsoil,HAZ,eq,ar,0
eqarvrgsoil,HAZUNC,eq,ar,0
eqatcr,BASINID,eq,at,0
eqatcr,COHES,eq,at,0
eqatcr,CRITD,eq,at,0
eqatcr,CTI,eq,at,0
eqatcr,DC,eq,at,0
eqatcr,DI,eq,at,0
eqatcr,DISTRIV,eq,at,0
eqatcr,ELEV,eq,at,0
eqatcr,EQBI,eq,at,0
eqatcr,FIRE,eq,at,0
eqatcr,FIRE1,eq,at,0
eqatcr,FIRE2,eq,at,0
eqatcr,FIRE3,eq,at,0
eqatcr,FIRE4,eq,at,0
eqatcr,FIRE5,eq,at,0
eqatcr,FIRE6,eq,at,0
eqatcr,FIRE7,eq,at,0
eqatcr,FIRE8,eq,at,0
eqatcr,FIREUNC,eq,at,0
eqatcr,GDMID,eq,at,0
eqatcr,GEOID,eq,at,0
eqatcr,GWD,eq,at,0
eqatcr,LAND,eq,at,0
eqatcr,LANDCV,eq,at,0
eqatcr,LANDUNC,eq,at,0
eqatcr,LIQ,eq,at,0
eqatcr,LIQCV,eq,at,0
eqatcr,LIQUNC,eq,at,0
eqatcr,N160CS,eq,at,0
eqatcr,NDVI,eq,at,0
eqatcr,PHI,eq,at,0
eqatcr,PRECIP,eq,at,0
eqatcr,ROUGH,eq,at,0
eqatcr,SLOPE,eq,at,0
eqatcr,SOIL,eq,at,0
eqatcr,SOILPERIOD,eq,at,0
eqatcr,SOILPEROIDUNC,eq,at,0
eqatcr,SOILTHICKNESS,eq,at,0
eqatcr,SOILUNC,eq,at,0
eqatcr,SOILVS,eq,at,0
eqatcr,T15,eq,at,0
eqatcr,TOPO,eq,at,0
eqatcr,WFF,eq,at,0
eqatcy,BASINID,eq,at,0
eqatcy,COHES,eq,at,0
eqatcy,CRITD,eq,at,0
eqatcy,CTI,eq,at,0
eqatcy,DC,eq,at,0
eqatcy,DI,eq,at,0
eqatcy,DISTRIV,eq,at,0
eqatcy,ELEV,eq,at,0
eqatcy,EQBI,eq,at,0
eqatcy,FIRE,eq,at,0
eqatcy,FIRE1,eq,at,0
eqatcy,FIRE2,eq,at,0
eqatcy,FIRE3,eq,at,0
eqatcy,FIRE4,eq,at,0
eqatcy,FIRE5,eq,at,0
eqatcy,FIRE6,eq,at,0
eqatcy,FIRE7,eq,at,0
eqatcy,FIRE8,eq,at,0
eqatcy,FIREUNC,eq,at,0
eqatcy,GDMID,eq,at,0
eqatcy,GEOID,eq,at,0
eqatcy,GWD,eq,at,0
eqatcy,LAND,eq,at,0
eqatcy,LANDCV,eq,at,0
eqatcy,LANDUNC,eq,at,0
eqatcy,LIQ,eq,at,0
eqatcy,LIQCV,eq,at,0
eqatcy,LIQUNC,eq,at,0
eqatcy,N160CS,eq,at,0
eqatcy,NDVI,eq,at,0
eqatcy,PHI,eq,at,0
eqatcy,PRECIP,eq,at,0
eqatcy,ROUGH,eq,at,0
eqatcy,SLOPE,eq,at,0
eqatcy,SOIL,eq,at,0
eqatcy,SOILPERIOD,eq,at,0
eqatcy,SOILPEROIDUNC,eq,at,0
eqatcy,SOILTHICKNESS,eq,at,0
eqatcy,SOILUNC,eq,at,0
eqatcy,SOILVS,eq,at,0
eqatcy,STATECODE,eq,at,0
eqatcy,T15,eq,at,0
eqatcy,TOPO,eq,at,0
eqatcy,WFF,eq,at,0
eqatpc,BASINID,eq,at,0
eqatpc,COHES,eq,at,0
eqatpc,CRITD,eq,at,0
eqatpc,CTI,eq,at,0
eqatpc,DC,eq,at,0
eqatpc,DI,eq,at,0
eqatpc,DISTRIV,eq,at,0
eqatpc,ELEV,eq,at,0
eqatpc,EQBI,eq,at,0
eqatpc,FIRE,eq,at,0
eqatpc,FIRE1,eq,at,0
eqatpc,FIRE2,eq,at,0
eqatpc,FIRE3,eq,at,0
eqatpc,FIRE4,eq,at,0
eqatpc,FIRE5,eq,at,0
eqatpc,FIRE6,eq,at,0
eqatpc,FIRE7,eq,at,0
eqatpc,FIRE8,eq,at,0
eqatpc,FIREUNC,eq,at,0
eqatpc,GDMID,eq,at,0
eqatpc,GEOID,eq,at,0
eqatpc,GWD,eq,at,0
eqatpc,LAND,eq,at,0
eqatpc,LANDCV,eq,at,0
eqatpc,LANDUNC,eq,at,0
eqatpc,LIQ,eq,at,0
eqatpc,LIQCV,eq,at,0
eqatpc,LIQUNC,eq,at,0
eqatpc,N160CS,eq,at,0
eqatpc,NDVI,eq,at,0
eqatpc,PHI,eq,at,0
eqatpc,PRECIP,eq,at,0
eqatpc,ROUGH,eq,at,0
eqatpc,SLOPE,eq,at,0
eqatpc,SOIL,eq,at,0
eqatpc,SOILPERIOD,eq,at,0
eqatpc,SOILPEROIDUNC,eq,at,0
eqatpc,SOILTHICKNESS,eq,at,0
eqatpc,SOILUNC,eq,at,0
eqatpc,SOILVS,eq,at,0
eqatpc,STATECODE,eq,at,0
eqatpc,T15,eq,at,0
eqatpc,TOPO,eq,at,0
eqatpc,WFF,eq,at,0
eqatst,BASINID,eq,at,0
eqatst,COHES,eq,at,0
eqatst,CRITD,eq,at,0
eqatst,CTI,eq,at,0
eqatst,DC,eq,at,0
eqatst,DI,eq,at,0
eqatst,DISTRIV,eq,at,0
eqatst,ELEV,eq,at,0
eqatst,EQBI,eq,at,0
eqatst,FIRE,eq,at,0
eqatst,FIRE1,eq,at,0
eqatst,FIRE2,eq,at,0
eqatst,FIRE3,eq,at,0
eqatst,FIRE4,eq,at,0
eqatst,FIRE5,eq,at,0
eqatst,FIRE6,eq,at,0
eqatst,FIRE7,eq,at,0
eqatst,FIRE8,eq,at,0
eqatst,FIREUNC,eq,at,0
eqatst,GDMID,eq,at,0
eqatst,GEOID,eq,at,0
eqatst,GWD,eq,at,0
eqatst,LAND,eq,at,0
eqatst,LANDCV,eq,at,0
eqatst,LANDUNC,eq,at,0
eqatst,LIQ,eq,at,0
eqatst,LIQCV,eq,at,0
eqatst,LIQUNC,eq,at,0
eqatst,N160CS,eq,at,0
eqatst,NDVI,eq,at,0
eqatst,PHI,eq,at,0
eqatst,PRECIP,eq,at,0
eqatst,ROUGH,eq,at,0
eqatst,SLOPE,eq,at,0
eqatst,SOIL,eq,at,0
eqatst,SOILPERIOD,eq,at,0
eqatst,SOILPEROIDUNC,eq,at,0
eqatst,SOILTHICKNESS,eq,at,0
eqatst,SOILUNC,eq,at,0
eqatst,SOILVS,eq,at,0
eqatst,T15,eq,at,0
eqatst,TOPO,eq,at,0
eqatst,WFF,eq,at,0
eqatvrg_geoid,STATECODE,eq,at,0
eqatvrg_geoid,VRGHAZARD,eq,at,0
eqatvrgliq,CRITD,eq,at,0
eqatvrgliq,DC,eq,at,0
eqatvrgliq,DI,eq,at,0
eqatvrgliq,DISTRIV,eq,at,0
eqatvrgliq,GEOID,eq,at,0
eqatvrgliq,HAZ,eq,at,0
eqatvrgliq,HAZUNC,eq,at,0
eqatvrgliq,LIQCV,eq,at,0
eqatvrgliq,N160CS,eq,at,0
eqatvrgliq,T15,eq,at,0
eqatvrgliq,WFF,eq,at,0
eqatvrgsoil,GEOID,eq,at,0
eqatvrgsoil,HAZ,eq,at,0
eqatvrgsoil,HAZUNC,eq,at,0
eqaucr,BASINID,eq,au,0
eqaucr,COHES,eq,au,0
eqaucr,CRITD,eq,au,0
eqaucr,CTI,eq,au,0
eqaucr,DC,eq,au,0
eqaucr,DI,eq,au,0
eqaucr,DISTRIV,eq,au,0
eqaucr,ELEV,eq,au,0
eqaucr,EQBI,eq,au,0
eqaucr,FIRE,eq,au,0
eqaucr,FIRE1,eq,au,0
eqaucr,FIRE2,eq,au,0
eqaucr,FIRE3,eq,au,0
eqaucr,FIRE4,eq,au,0
eqaucr,FIRE5,eq,au,0
eqaucr,FIRE6,eq,au,0
eqaucr,FIRE7,eq,au,0
eqaucr,FIRE8,eq,au,0
eqaucr,FIREUNC,eq,au,0
eqaucr,GDMID,eq,au,0
eqaucr,GEOID,eq,au,0
eqaucr,GWD,eq,au,0
eqaucr,LAND,eq,au,0
eqaucr,LANDCV,eq,au,0
eqaucr,LANDUNC,eq,au,0
eqaucr,LIQ,eq,au,0
eqaucr,LIQCV,eq,au,0
eqaucr,LIQUNC,eq,au,0
eqaucr,N160CS,eq,au,0
eqaucr,NDVI,eq,au,0
eqaucr,PHI,eq,au,0
eqaucr,PRECIP,eq,au,0
eqaucr,ROUGH,eq,au,0
eqaucr,SLOPE,eq,au,0
eqaucr,SOIL,eq,au,0
eqaucr,SOILPERIOD,eq,au,0
eqaucr,SOILPEROIDUNC,eq,au,0
eqaucr,SOILTHICKNESS,eq,au,0
eqaucr,SOILUNC,eq,au,0
eqaucr,SOILVS,eq,au,0
eqaucr,T15,eq,au,0
eqaucr,TOPO,eq,au,0
eqaucr,WFF,eq,au,0
eqaupc,BASINID,eq,au,0
eqaupc,COHES,eq,au,0
eqaupc,CRITD,eq,au,0
eqaupc,CTI,eq,au,0
eqaupc,DC,eq,au,0
eqaupc,DI,eq,au,0
eqaupc,DISTRIV,eq,au,0
eqaupc,ELEV,eq,au,0
eqaupc,EQBI,eq,au,0
eqaupc,FIRE,eq,au,0
eqaupc,FIRE1,eq,au,0
eqaupc,FIRE2,eq,au,0
eqaupc,FIRE3,eq,au,0
eqaupc,FIRE4,eq,au,0
eqaupc,FIRE5,eq,au,0
eqaupc,FIRE6,eq,au,0
eqaupc,FIRE7,eq,au,0
eqaupc,FIRE8,eq,au,0
eqaupc,FIREUNC,eq,au,0
eqaupc,GDMID,eq,au,0
eqaupc,GEOID,eq,au,0
eqaupc,GWD,eq,au,0
eqaupc,LAND,eq,au,0
eqaupc,LANDCV,eq,au,0
eqaupc,LANDUNC,eq,au,0
eqaupc,LIQ,eq,au,0
eqaupc,LIQCV,eq,au,0
eqaupc,LIQUNC,eq,au,0
eqaupc,N160CS,eq,au,0
eqaupc,NDVI,eq,au,0
eqaupc,PHI,eq,au,0
eqaupc,PRECIP,eq,au,0
eqaupc,ROUGH,eq,au,0
eqaupc,SLOPE,eq,au,0
eqaupc,SOIL,eq,au,0
eqaupc,SOILPERIOD,eq,au,0
eqaupc,SOILPEROIDUNC,eq,au,0
eqaupc,SOILTHICKNESS,eq,au,0
eqaupc,SOILUNC,eq,au,0
eqaupc,SOILVS,eq,au,0
eqaupc,STATECODE,eq,au,0
eqaupc,T15,eq,au,0
eqaupc,TOPO,eq,au,0
eqaupc,WFF,eq,au,0
eqauvrg_geoid,STATECODE,eq,au,0
eqauvrg_geoid,VRGHAZARD,eq,au,0
eqauvrgliq,CRITD,eq,au,0
eqauvrgliq,DC,eq,au,0
eqauvrgliq,DI,eq,au,0
eqauvrgliq,DISTRIV,eq,au,0
eqauvrgliq,GEOID,eq,au,0
eqauvrgliq,HAZ,eq,au,0
eqauvrgliq,HAZUNC,eq,au,0
eqauvrgliq,LIQCV,eq,au,0
eqauvrgliq,N160CS,eq,au,0
eqauvrgliq,T15,eq,au,0
eqauvrgliq,WFF,eq,au,0
eqauvrgsoil,GEOID,eq,au,0
eqauvrgsoil,HAZ,eq,au,0
eqauvrgsoil,HAZUNC,eq,au,0
eqauvrgsoilperiod,BASINID,eq,au,0
eqauvrgsoilperiod,GEOID,eq,au,0
eqauvrgsoilperiod,SOILPERIOD,eq,au,0
eqauvrgsoilperiod,SOILPEROIDUNC,eq,au,0
eqauvrgsoilperiod,SOILTHICKNESS,eq,au,0
eqauvrgsoilperiod,SOILVS,eq,au,0
eqbecr,BASINID,eq,be,0
eqbecr,COHES,eq,be,0
eqbecr,CRITD,eq,be,0
eqbecr,CTI,eq,be,0
eqbecr,DC,eq,be,0
eqbecr,DI,eq,be,0
eqbecr,DISTRIV,eq,be,0
eqbecr,ELEV,eq,be,0
eqbecr,EQBI,eq,be,0
eqbecr,FIRE,eq,be,0
eqbecr,FIRE1,eq,be,0
eqbecr,FIRE2,eq,be,0
eqbecr,FIRE3,eq,be,0
eqbecr,FIRE4,eq,be,0
eqbecr,FIRE5,eq,be,0
eqbecr,FIRE6,eq,be,0
eqbecr,FIRE7,eq,be,0
eqbecr,FIRE8,eq,be,0
eqbecr,FIREUNC,eq,be,0
eqbecr,GDMID,eq,be,0
eqbecr,GEOID,eq,be,0
eqbecr,GWD,eq,be,0
eqbecr,LAND,eq,be,0
eqbecr,LANDCV,eq,be,0
eqbecr,LANDUNC,eq,be,0
eqbecr,LIQ,eq,be,0
eqbecr,LIQCV,eq,be,0
eqbecr,LIQUNC,eq,be,0
eqbecr,N160CS,eq,be,0
eqbecr,NDVI,eq,be,0
eqbecr,PHI,eq,be,0
eqbecr,PRECIP,eq,be,0
eqbecr,ROUGH,eq,be,0
eqbecr,SLOPE,eq,be,0
eqbecr,SOIL,eq,be,0
eqbecr,SOILPERIOD,eq,be,0
eqbecr,SOILPEROIDUNC,eq,be,0
eqbecr,SOILTHICKNESS,eq,be,0
eqbecr,SOILUNC,eq,be,0
eqbecr,SOILVS,eq,be,0
eqbecr,T15,eq,be,0
eqbecr,TOPO,eq,be,0
eqbecr,WFF,eq,be,0
eqbepc,BASINID,eq,be,0
eqbepc,COHES,eq,be,0
eqbepc,CRITD,eq,be,0
eqbepc,CTI,eq,be,0
eqbepc,DC,eq,be,0
eqbepc,DI,eq,be,0
eqbepc,DISTRIV,eq,be,0
eqbepc,ELEV,eq,be,0
eqbepc,EQBI,eq,be,0
eqbepc,FIRE,eq,be,0
eqbepc,FIRE1,eq,be,0
eqbepc,FIRE2,eq,be,0
eqbepc,FIRE3,eq,be,0
eqbepc,FIRE4,eq,be,0
eqbepc,FIRE5,eq,be,0
eqbepc,FIRE6,eq,be,0
eqbepc,FIRE7,eq,be,0
eqbepc,FIRE8,eq,be,0
eqbepc,FIREUNC,eq,be,0
eqbepc,GDMID,eq,be,0
eqbepc,GEOID,eq,be,0
eqbepc,GWD,eq,be,0
eqbepc,LAND,eq,be,0
eqbepc,LANDCV,eq,be,0
eqbepc,LANDUNC,eq,be,0
eqbepc,LIQ,eq,be,0
eqbepc,LIQCV,eq,be,0
eqbepc,LIQUNC,eq,be,0
eqbepc,N160CS,eq,be,0
eqbepc,NDVI,eq,be,0
eqbepc,PHI,eq,be,0
eqbepc,PRECIP,eq,be,0
eqbepc,ROUGH,eq,be,0
eqbepc,SLOPE,eq,be,0
eqbepc,SOIL,eq,be,0
eqbepc,SOILPERIOD,eq,be,0
eqbepc,SOILPEROIDUNC,eq,be,0
eqbepc,SOILTHICKNESS,eq,be,0
eqbepc,SOILUNC,eq,be,0
eqbepc,SOILVS,eq,be,0
eqbepc,STATECODE,eq,be,0
eqbepc,T15,eq,be,0
eqbepc,TOPO,eq,be,0
eqbepc,WFF,eq,be,0
eqbest,BASINID,eq,be,0
eqbest,COHES,eq,be,0
eqbest,CRITD,eq,be,0
eqbest,CTI,eq,be,0
eqbest,DC,eq,be,0
eqbest,DI,eq,be,0
eqbest,DISTRIV,eq,be,0
eqbest,ELEV,eq,be,0
eqbest,EQBI,eq,be,0
eqbest,FIRE,eq,be,0
eqbest,FIRE1,eq,be,0
eqbest,FIRE2,eq,be,0
eqbest,FIRE3,eq,be,0
eqbest,FIRE4,eq,be,0
eqbest,FIRE5,eq,be,0
eqbest,FIRE6,eq,be,0
eqbest,FIRE7,eq,be,0
eqbest,FIRE8,eq,be,0
eqbest,FIREUNC,eq,be,0
eqbest,GDMID,eq,be,0
eqbest,GEOID,eq,be,0
eqbest,GWD,eq,be,0
eqbest,LAND,eq,be,0
eqbest,LANDCV,eq,be,0
eqbest,LANDUNC,eq,be,0
eqbest,LIQ,eq,be,0
eqbest,LIQCV,eq,be,0
eqbest,LIQUNC,eq,be,0
eqbest,N160CS,eq,be,0
eqbest,NDVI,eq,be,0
eqbest,PHI,eq,be,0
eqbest,PRECIP,eq,be,0
eqbest,ROUGH,eq,be,0
eqbest,SLOPE,eq,be,0
eqbest,SOIL,eq,be,0
eqbest,SOILPERIOD,eq,be,0
eqbest,SOILPEROIDUNC,eq,be,0
eqbest,SOILTHICKNESS,eq,be,0
eqbest,SOILUNC,eq,be,0
eqbest,SOILVS,eq,be,0
eqbest,T15,eq,be,0
eqbest,TOPO,eq,be,0
eqbest,WFF,eq,be,0
eqbevrg_geoid,STATECODE,eq,be,0
eqbevrg_geoid,VRGHAZARD,eq,be,0
eqbevrgliq,CRITD,eq,be,0
eqbevrgliq,DC,eq,be,0
eqbevrgliq,DI,eq,be,0
